brand_trust,demand,profit
0.2,203,9650.0
0.23333333333333334,237,11350.0
0.26666666666666666,271,13050.0
0.30000000000000004,305,14750.0
0.33333333333333337,339,16450.0
0.3666666666666667,373,18150.0
0.4,407,19850.0
0.43333333333333335,441,21550.0
0.4666666666666667,475,23250.0
0.5,508,24900.0
0.5333333333333333,542,26600.0
0.5666666666666667,576,28300.0
0.6000000000000001,610,30000.0
0.6333333333333333,644,31700.0
0.6666666666666667,678,33400.0
0.7,712,35100.0
0.7333333333333334,746,36800.0
0.7666666666666666,780,38500.0
0.8,814,40200.0
0.8333333333333333,848,41900.0
0.8666666666666667,882,43600.0
0.8999999999999999,916,45300.0
0.9333333333333333,950,47000.0
0.9666666666666666,983,48650.0
1.0,1015,50250.0
