week,multiplier_type,trust_multiplier,price,brand_trust,profit,sales_volume,weekly_ad_spend
1,balanced,150000,120.0,0.6846279999999999,29890.0,427,0.0
2,balanced,150000,120.0,0.6879947327199651,39600.0,580,1000.0
3,balanced,150000,138.0,0.6728863683894347,36080.0,410,0.0
4,balanced,150000,138.0,0.6742634584548092,35140.0,405,500.0
5,balanced,150000,138.0,0.6746804198485208,35868.0,411,300.0
6,balanced,150000,138.0,0.6772888091843219,42584.0,493,800.0
7,balanced,150000,138.0,0.6791111469856276,41288.0,476,600.0
8,balanced,150000,138.0,0.6817366660039779,43816.0,507,800.0
9,balanced,150000,138.0,0.683983445044941,41980.0,485,700.0
10,balanced,150000,138.0,0.6853832457413148,44996.0,517,500.0
11,balanced,150000,138.0,0.688033013389129,47160.0,545,800.0
12,balanced,150000,138.0,0.6903005431129364,45324.0,523,700.0
13,balanced,150000,138.0,0.6907274217653787,44844.0,513,300.0
14,balanced,150000,138.0,0.6925859179844398,45688.0,526,600.0
15,balanced,150000,138.0,0.6952635319620355,43904.0,508,800.0
16,balanced,150000,138.0,0.6951380849628147,42128.0,481,200.0
17,balanced,150000,131.1,0.6950126605981043,38241.399999999994,474,200.0
18,balanced,150000,124.54499999999999,0.6976996566318084,44896.08499999999,613,800.0
19,balanced,150000,149.45399999999998,0.6823781721721739,38389.24399999999,386,0.0
20,balanced,150000,149.45399999999998,0.6857338411188751,44649.385999999984,459,1000.0
21,balanced,150000,149.45399999999998,0.687137224073944,40176.685999999994,409,500.0
22,balanced,150000,149.45399999999998,0.6911698980767719,47433.005999999994,489,1200.0
23,balanced,150000,141.98129999999998,0.6915973143342895,37964.22079999999,416,300.0
24,balanced,150000,141.98129999999998,0.6934581511178038,38584.03379999999,426,600.0
25,balanced,150000,141.98129999999998,0.6953239947361672,37940.16469999999,419,600.0
26,balanced,150000,141.98129999999998,0.6980121944221809,39855.73459999999,442,800.0
27,balanced,150000,141.98129999999998,0.6998902913144058,37664.22079999999,416,600.0
28,balanced,150000,141.98129999999998,0.701322646036241,36384.50129999999,401,500.0
29,balanced,150000,141.98129999999998,0.7040340371735255,37096.29559999999,412,800.0
30,balanced,150000,141.98129999999998,0.7054748722443825,37856.20209999999,417,500.0
31,balanced,150000,141.98129999999998,0.7082023163487349,34152.89399999999,380,800.0
32,balanced,150000,141.98129999999998,0.7123586172589803,34764.68829999999,391,1200.0
33,balanced,150000,141.98129999999998,0.7151126746850747,32313.26799999999,360,800.0
34,balanced,150000,141.98129999999998,0.7174694500347522,33884.96879999999,376,700.0
35,balanced,150000,134.88223499999998,0.7179131298131546,31615.720359999992,376,300.0
36,balanced,150000,134.88223499999998,0.7202791345386317,31300.60259499999,377,700.0
37,balanced,150000,128.13812324999998,0.7207245518128925,27517.171876999993,356,300.0
38,balanced,150000,128.13812324999998,0.721703290652591,27886.000616499994,362,400.0
39,balanced,150000,128.13812324999998,0.7226833586127058,30073.868067499992,390,400.0
40,balanced,150000,128.13812324999998,0.7250650844378712,31727.321148749994,415,700.0
41,balanced,150000,128.13812324999998,0.7260497176901499,30308.28243724999,393,400.0
42,balanced,150000,128.13812324999998,0.728442537923753,30086.420560499988,394,700.0
43,balanced,150000,128.13812324999998,0.7336469550070057,34599.81294149999,462,1500.0
44,balanced,150000,128.13812324999998,0.7360648132273035,32508.70238124999,425,700.0
45,balanced,150000,128.13812324999998,0.7375712006195659,32474.288011499993,422,500.0
46,balanced,150000,128.13812324999998,0.7428408381774724,38272.30473424999,509,1500.0
47,balanced,150000,128.13812324999998,0.7457127432505952,35690.50355774999,467,800.0
48,balanced,150000,128.13812324999998,0.7481703663265774,37040.71352974999,483,700.0
49,balanced,150000,128.13812324999998,0.7497015282390144,35834.22731124999,465,500.0
50,balanced,150000,128.13812324999998,0.7550578319112694,41632.24403399999,552,1500.0
51,balanced,150000,128.13812324999998,0.7618262840591191,45273.56456624999,605,2000.0
52,balanced,150000,128.13812324999998,0.7686554096316279,41913.62526649999,562,2000.0
