week,multiplier_type,trust_multiplier,price,brand_trust,profit,sales_volume,weekly_ad_spend
1,conservative,300000,120.0,0.6858762244278473,31370.0,451,200.0
2,conservative,300000,114.0,0.6872798987763066,36108.0,572,500.0
3,conservative,300000,114.0,0.6921902260292463,41764.0,676,1500.0
4,conservative,300000,114.0,0.6971356355154564,36836.0,599,1500.0
5,conservative,300000,114.0,0.7033848643693619,40560.0,665,2000.0
6,conservative,300000,114.0,0.708410254861602,43492.0,703,1500.0
7,conservative,300000,114.0,0.7134715496658038,43492.0,703,1500.0
8,conservative,300000,114.0,0.7198672161150098,46704.0,761,2000.0
9,conservative,300000,114.0,0.7240919760409874,42896.0,689,1200.0
10,conservative,300000,114.0,0.7268913959335469,45536.0,724,800.0
11,conservative,300000,114.0,0.7323692525617824,49536.0,799,1600.0
12,conservative,300000,136.79999999999998,0.7162864237755256,41056.399999999994,473,0.0
13,conservative,300000,136.79999999999998,0.7190556665372685,50238.399999999994,588,800.0
14,conservative,300000,136.79999999999998,0.7241930183528319,52489.59999999999,622,1500.0
15,conservative,300000,129.95999999999998,0.7256751096208928,42918.279999999984,543,500.0
16,conservative,300000,129.95999999999998,0.728276629899242,47225.999999999985,600,750.0
17,conservative,300000,129.95999999999998,0.7310922281277614,44137.51999999999,562,800.0
18,conservative,300000,129.95999999999998,0.7330593313568292,46896.23999999999,594,600.0
19,conservative,300000,129.95999999999998,0.7358934200396605,45496.83999999998,579,800.0
20,conservative,300000,129.95999999999998,0.7411510705574678,47995.23999999999,619,1500.0
21,conservative,300000,129.95999999999998,0.7464462847879196,46236.11999999998,597,1500.0
22,conservative,300000,129.95999999999998,0.7542858924486053,53711.87999999999,703,2500.0
23,conservative,300000,123.46199999999997,0.7636693986156308,49789.563999999984,722,3250.0
24,conservative,300000,123.46199999999997,0.7657241551595543,40244.87199999999,556,600.0
25,conservative,300000,123.46199999999997,0.7686845296742495,40706.029999999984,565,800.0
26,conservative,300000,117.28889999999997,0.7691598806202314,37516.361799999984,562,300.0
27,conservative,300000,117.28889999999997,0.771229410053901,38225.69529999998,577,600.0
28,conservative,300000,117.28889999999997,0.7728077632627077,36912.62839999998,556,500.0
29,conservative,300000,117.28889999999997,0.7753546825818192,37183.650699999984,563,700.0
30,conservative,300000,99.69556499999997,0.7991091830689877,34238.417674999975,695,300.0
31,conservative,300000,119.63467799999997,0.7815607454087926,30430.354285999987,437,0.0
32,conservative,300000,119.63467799999997,0.7854041554565971,35001.12852599998,517,1000.0
33,conservative,300000,119.63467799999997,0.7910155394589189,35406.379339999985,530,1500.0
34,conservative,300000,119.63467799999997,0.7926343858081962,33829.896253999985,493,500.0
35,conservative,300000,119.63467799999997,0.7952466471313537,35301.12852599998,517,700.0
36,conservative,300000,119.63467799999997,0.7980975789758844,33092.453507999984,486,750.0
37,conservative,300000,119.63467799999997,0.8037996521771057,34013.685779999985,510,1500.0
38,conservative,300000,119.63467799999997,0.8042967181518877,29642.911539999986,430,300.0
39,conservative,300000,119.63467799999997,0.804794091509962,31871.221235999983,462,300.0
40,conservative,300000,119.63467799999997,0.807446427209748,34186.97367799998,501,700.0
41,conservative,300000,119.63467799999997,0.8105681046558453,34644.05110199998,509,800.0
42,conservative,300000,119.63467799999997,0.8127490485569058,32128.298659999986,470,600.0
43,conservative,300000,119.63467799999997,0.8154276011695502,34604.781745999986,507,700.0
44,conservative,300000,119.63467799999997,0.8170964078230277,34038.800287999984,496,500.0
45,conservative,300000,119.63467799999997,0.819789287896948,35997.47530599998,527,700.0
46,conservative,300000,119.63467799999997,0.8214670209245398,36963.45676399998,538,500.0
47,conservative,300000,119.63467799999997,0.8231481875028666,36615.283373999984,533,500.0
48,conservative,300000,119.63467799999997,0.8290292368184364,42996.559241999974,639,1500.0
49,conservative,300000,119.63467799999997,0.8322343558003538,40145.19066399998,588,800.0
50,conservative,300000,119.63467799999997,0.8371185764964736,43714.36730999997,645,1200.0
51,conservative,300000,119.63467799999997,0.8430994383948522,47105.00524399997,698,1500.0
52,conservative,300000,119.63467799999997,0.8458780158751227,40105.921307999975,586,700.0
