week,agent_type,strategy,price,brand_trust,profit,sales_volume,weekly_ad_spend
1,llm_symbolic,decrease,100.0,0.6998736983957626,28450.0,573,200.0
2,llm_symbolic,decrease,100.0,0.7000325505782349,32200.0,649,250.0
3,llm_symbolic,decrease,100.0,0.6986324854770785,31300.0,626,0.0
4,llm_symbolic,decrease,100.0,0.6972352205061243,27500.0,550,0.0
5,llm_symbolic,decrease,100.0,0.6965039571351509,29700.0,596,100.0
6,llm_symbolic,decrease,60.0,0.7166791346288377,12315.0,1242,105.0
7,llm_symbolic,decrease,60.0,0.71524577635958,11950.0,1195,0.0
8,llm_symbolic,decrease,60.0,0.7180109958629886,13710.0,1451,800.0
9,llm_symbolic,decrease,59.411764705882355,0.7210985094412238,12710.588235294126,1444,880.0
10,llm_symbolic,decrease,59.411764705882355,0.7205485853523539,12884.470588235301,1383,132.0
11,llm_symbolic,decrease,59.411764705882355,0.7193200477419849,12628.823529411762,1345,30.0
12,llm_symbolic,decrease,59.411764705882355,0.7179528392216951,12159.411764705888,1293,10.0
13,llm_symbolic,decrease,59.411764705882355,0.7165169335432516,12771.76470588235,1357,0.0
14,llm_symbolic,decrease,59.411764705882355,0.7190856220757372,13734.705882352951,1539,750.0
15,llm_symbolic,decrease,59.411764705882355,0.7219054458118208,12855.882352941175,1452,810.0
16,llm_symbolic,decrease,59.411764705882355,0.7204616349201972,12244.705882352937,1301,0.0
17,llm_symbolic,decrease,59.411764705882355,0.7190207116503569,11331.76470588235,1204,0.0
18,llm_symbolic,decrease,59.411764705882355,0.7176327260223706,12284.76470588235,1306,7.0
19,llm_symbolic,decrease,59.411764705882355,0.7162489131428024,11569.260588235302,1230,7.21
20,llm_symbolic,decrease,59.411764705882355,0.7148754399549602,11295.237911764714,1201,8.2915
21,llm_symbolic,decrease,59.411764705882355,0.7134599437389147,10793.294117647063,1147,2.0
22,llm_symbolic,decrease,59.411764705882355,0.71204938180654,11611.817647058822,1234,2.3
23,llm_symbolic,decrease,59.411764705882355,0.7106416228370469,10623.580352941171,1129,2.302
24,llm_symbolic,decrease,59.411764705882355,0.7092231759055062,10220.776470588236,1086,0.4
25,llm_symbolic,decrease,59.411764705882355,0.7078089751085334,10013.517647058827,1064,0.6
26,llm_symbolic,decrease,59.411764705882355,0.7063986531227564,10192.191176470587,1083,0.75
27,llm_symbolic,decrease,59.411764705882355,0.7049862083006269,9844.655882352941,1046,0.05
28,llm_symbolic,decrease,59.411764705882355,0.7035769394250849,9609.311764705883,1021,0.1
29,llm_symbolic,decrease,59.411764705882355,0.7021704876809141,9364.605882352946,995,0.1
30,llm_symbolic,decrease,59.411764705882355,0.7007675480977111,9891.56470588236,1051,0.2
31,llm_symbolic,decrease,59.411764705882355,0.699368809906224,8536.070588235292,907,0.4
32,llm_symbolic,decrease,59.411764705882355,0.6979763511919782,8290.864705882355,881,0.9
33,llm_symbolic,decrease,59.411764705882355,0.6965873608129972,7989.588235294119,849,1.0
34,llm_symbolic,decrease,59.411764705882355,0.6952080760897201,8421.529411764706,895,2.0
35,llm_symbolic,decrease,59.411764705882355,0.6938211281588572,8479.5,901,0.5
36,llm_symbolic,decrease,59.411764705882355,0.6924383312412701,7867.535294117653,836,0.7
37,llm_symbolic,decrease,59.411764705882355,0.6910548365475044,7500.976470588241,797,0.2
38,llm_symbolic,decrease,59.411764705882355,0.6896741750350843,7444.495882352945,791,0.21
39,llm_symbolic,decrease,59.411764705882355,0.6882950331703648,7990.55823529412,849,0.03
40,llm_symbolic,decrease,59.411764705882355,0.6869187865546594,8028.185294117648,853,0.05
41,llm_symbolic,decrease,59.411764705882355,0.6855450518125212,7971.749705882357,847,0.015
42,llm_symbolic,decrease,59.411764705882355,0.6841740745966686,7557.630558823534,803,0.0165
43,llm_symbolic,decrease,59.411764705882355,0.6828057377137604,7990.586585294121,849,0.00165
44,llm_symbolic,decrease,59.411764705882355,0.6814401380442728,8047.057091029412,855,0.0017325
45,llm_symbolic,decrease,59.411764705882355,0.6800772577681843,8216.470588235294,873,0.0
46,llm_symbolic,decrease,59.411764705882355,0.6834216117178218,9503.529411764714,1116,1000.0
47,llm_symbolic,decrease,59.411764705882355,0.688025944764186,9545.882352941175,1163,1400.0
48,llm_symbolic,decrease,59.411764705882355,0.6879587873697077,9380.588235294119,1019,210.0
49,llm_symbolic,decrease,89.11764705882354,0.6743067263349973,23776.73529411765,614,241.5
50,llm_symbolic,decrease,71.29411764705883,0.6932794950373062,17186.327058823532,808,19.32
51,llm_symbolic,decrease,67.72941176470589,0.6920384364653799,15846.571529411769,895,21.252
52,llm_symbolic,decrease,67.72941176470589,0.6907093921035109,14512.388235294122,819,8.0
